,balance,equity,balance_btc,equity_btc
0,100005.92092287999,100000.0,0.0,0.0
60,100005.92092287999,100000.0,0.0,0.0
120,100005.92092287999,100000.0,0.0,0.0
180,100005.92092287999,100000.0,0.0,0.0
240,100005.92092287999,100000.0,0.0,0.0
300,100005.92092287999,100000.0,0.0,0.0
360,100005.92092287999,100000.0,0.0,0.0
420,100005.92092287999,100000.0,0.0,0.0
480,100005.92092287999,100000.0,0.0,0.0
540,100005.92092287999,100000.0,0.0,0.0
600,100005.92092287999,100000.0,0.0,0.0
660,100005.92092287999,100000.0,0.0,0.0
720,100011.21339897,100005.92092287999,0.0,0.0
780,100016.98271018399,100023.12845896998,0.0,11.915059999999938
840,100016.74826971599,100006.26257369599,0.0,-10.603210000000036
900,100022.52869471598,100029.759809716,0.0,13.011539999999986
960,100022.52869471598,99984.40083471597,0.0,-38.12785999999998
1020,100022.52869471598,99989.27713471596,0.0,-33.25155999999997
1080,100022.52869471598,100010.30570471597,0.0,-12.222989999999992
1140,100022.52869471598,99992.95363471597,0.0,-29.575059999999965
1200,100022.52869471598,99984.45489471598,0.0,-38.073800000000034
1260,100028.42663369597,99989.90411471599,0.0,-32.62458000000002
1320,100028.42663369597,100022.97046369595,0.0,-5.4561700000000695
1380,100034.31287832998,100014.97871369595,0.0,-13.447920000000023
1440,100034.31287832998,100014.38392832997,0.0,-19.92895000000009
1500,100034.31287832998,100022.96557832998,0.0,-11.34730000000005
1560,100034.31287832998,100010.91524832998,0.0,-23.39763000000009
1620,100034.31287832998,100016.38173832996,0.0,-17.931140000000077
1680,100034.31287832998,100019.64539832997,0.0,-14.66748000000002
1740,100034.31287832998,100013.95659832998,0.0,-20.356280000000048
1800,100034.31287832998,100015.16178832998,0.0,-19.151089999999993
1860,100034.19594345997,100013.47046832996,0.0,-20.842410000000065
1920,100034.19594345997,100002.83479345996,0.0,-31.361150000000052
1980,100034.19594345997,100003.51806345997,0.0,-30.677880000000098
2040,100034.19594345997,100022.94518345996,0.0,-11.25076
2100,100040.08653684397,100035.00426345997,0.0,0.8083199999999664
2160,100046.14733457397,100040.32343684397,0.0,0.23689999999993727
2220,100052.02437905196,100045.07623457396,0.0,-1.0711000000000737
2280,100052.02437905196,100053.64317905197,0.0,1.6187999999999558
2340,100052.02437905196,100049.86407905197,0.0,-2.1603000000000585
2400,100058.02424047196,100049.25607905195,0.0,-2.768300000000036
2460,100058.02424047196,100057.20344047196,0.0,-0.8208000000000006
2520,100057.67345105996,100060.89704047196,0.0,2.8727999999999567
2580,100063.55042203396,100058.76179105997,0.0,1.0883399999999588
2640,100063.55042203396,100065.92158203396,0.0,2.371159999999776
2700,100069.41860215396,100073.88432215396,0.0,4.465719999999939
2760,100069.30161252797,100070.63424215396,0.0,1.2156399999999543
2820,100075.19588325996,100070.01550252797,0.0,0.7138899999998651
2880,100081.06692578796,100075.49906325997,0.0,0.30317999999989786
2940,100081.06692578796,100083.73452578796,0.0,2.6675999999999793
3000,100081.06692578796,100084.35012578797,0.0,3.2832000000000026
3060,100081.06692578796,100082.09292578796,0.0,1.025999999999978
3120,100081.06692578796,100079.63052578796,0.0,-1.4364000000000239
3180,100080.83291873797,100077.57852578796,0.0,-3.4884000000000714
3240,100080.48195804397,100059.19292873796,0.0,-21.63999000000006
3300,100080.48195804397,100062.01115804397,0.0,-18.47080000000017
3360,100086.42018589796,100050.69739804397,0.0,-29.78456000000012
3420,100098.18165205597,100080.85556589796,0.0,-5.564620000000047
3480,100097.94762531597,100093.86331205597,0.0,-4.318340000000054
3540,100109.57968217997,100084.71382531596,0.0,-13.233800000000087
3600,100109.34560223598,100089.55337217997,0.0,-20.026310000000077
3660,100109.34560223598,100072.75973223598,0.0,-36.58587000000004
3720,100109.10795597598,100061.86377223596,0.0,-47.48183000000006
3780,100109.10795597598,99962.11941597596,0.0,-146.98854000000009
3840,100109.10795597598,99986.33621597597,0.0,-122.77174000000011
3900,100109.10795597598,100020.73274597598,0.0,-88.37521000000004
3960,100109.10795597598,99992.62242597599,0.0,-116.48553000000025
4020,100109.10795597598,100008.541035976,0.0,-100.56692000000025
4080,100109.10795597598,100012.08232597598,0.0,-97.02562999999994
4140,100109.10795597598,100016.50086597599,0.0,-92.60709000000008
4200,100109.10795597598,100054.53573597598,0.0,-54.57222000000011
4260,100109.10795597598,100053.62135597598,0.0,-55.48660000000008
4320,100109.10795597598,100044.88255597597,0.0,-64.22540000000015
4380,100108.15641117998,100006.096615976,0.0,-103.01134000000017
4440,100108.15641117998,99898.63857117998,0.0,-209.51784000000023
4500,100108.15641117998,99947.10207117996,0.0,-161.05434000000022
4560,100106.71567927799,99914.04544117999,0.0,-194.1109700000002
4620,100105.756541114,99895.857899278,0.0,-210.85778000000127
4680,100105.756541114,99775.935941114,0.0,-329.82060000000035
4740,100105.756541114,99787.444391114,0.0,-318.3121500000012
4800,100154.62069524,99912.06041111397,0.0,-193.69613000000055
4860,100154.5036119,100087.90735524,0.0,-66.71334000000103
4920,100154.5036119,99864.3040519,0.0,-290.1995600000009
4980,100153.78289839,99898.8271719,0.0,-255.6764400000017
5040,100305.52193988599,100021.95084839,0.0,-131.83205000000234
5100,100322.90600388599,100275.70631988598,0.0,-29.81562000000031
5160,100322.90600388599,100316.045503886,0.0,-6.8604999999998295
5220,100322.90600388599,100302.140163886,0.0,-20.765839999999734
5280,100322.90600388599,100326.192643886,0.0,3.286640000000288
5340,100322.78870687599,100313.41476388599,0.0,-9.491239999999841
5400,100328.68853619999,100306.69241687599,0.0,-16.09628999999976
5460,100328.68853619999,100316.19073619999,0.0,-12.497799999999776
5520,100328.68853619999,100312.4325362,0.0,-16.25599999999983
5580,100328.68853619999,100321.45221619999,0.0,-7.236319999999755
5640,100328.68853619999,100332.72681619998,0.0,4.038280000000138
5700,100328.68853619999,100318.44565619998,0.0,-10.24287999999969
5760,100334.61816279999,100321.45221619999,0.0,-7.236319999999755
5820,100334.61816279999,100338.2806228,0.0,3.662460000000213
5880,100334.61816279999,100334.14660279998,0.0,-0.4715599999997656
5940,100334.50087231598,100314.36843231598,0.0,-20.132439999999796
6000,100357.97766751198,100326.72913231599,0.0,-7.771739999999822
6060,100357.97766751198,100357.97766751198,0.0,0.0
6120,100357.86034226998,100357.97766751198,0.0,0.0
6180,100357.86034226998,100361.78059226998,0.0,3.920249999999986
6240,100357.86034226998,100358.80120226998,0.0,0.9408599999999661
6300,100357.74302262199,100359.89887226999,0.0,2.0385299999999846
6360,100357.27337668599,100346.00775148599,0.0,-11.383289999999949
6420,100357.27337668599,100294.85857668599,0.0,-62.41479999999997
6480,100357.27337668599,100300.40057668599,0.0,-56.87280000000005
6540,100357.27337668599,100311.73484668598,0.0,-45.5385299999999
6600,100357.27337668599,100343.60901668598,0.0,-13.664359999999995
6660,100357.27337668599,100326.918316686,0.0,-30.355059999999956
6720,100357.27337668599,100305.81462668597,0.0,-51.458749999999924
6780,100357.27337668599,100323.01873668599,0.0,-34.254639999999924
6840,100357.27337668599,100320.370996686,0.0,-36.90237999999993
6900,100357.27337668599,100322.13348668597,0.0,-35.13988999999988
6960,100357.27337668599,100328.82888668601,0.0,-28.444490000000005
7020,100357.27337668599,100343.734486686,0.0,-13.53888999999991
7080,100357.27337668599,100336.302576686,0.0,-20.97079999999993
7140,100363.18030672599,100327.86642668599,0.0,-29.406950000000002
7200,100363.18030672599,100341.053786726,0.0,-22.12651999999992
7260,100363.18030672599,100301.70199672598,0.0,-61.4783099999999
7320,100363.18030672599,100325.624846726,0.0,-37.55546
7380,100369.07410461399,100326.216396726,0.0,-36.963909999999984
7440,100369.07410461399,100345.030794614,0.0,-24.043309999999977
7500,100369.07410461399,100356.58207461398,0.0,-12.492030000000014
7560,100369.07410461399,100363.26189461398,0.0,-5.812209999999883
7620,100369.07410461399,100374.10968461398,0.0,5.035580000000011
7680,100374.97950367199,100375.621564614,0.0,6.547459999999904
7740,100374.97950367199,100369.829033672,0.0,-5.150469999999958
7800,100380.98284991199,100368.75873367199,0.0,-6.220769999999906
7860,100380.98284991199,100379.011199912,0.0,-1.9716500000000718
7920,100380.86546943198,100381.17700991199,0.0,0.194160000000009
7980,100380.86546943198,100374.24975943197,0.0,-6.615709999999991
8040,100380.86546943198,100366.66213943198,0.0,-14.203330000000026
8100,100380.86546943198,100366.236539432,0.0,-14.62892999999998
8160,100380.86546943198,100362.63434943199,0.0,-18.231119999999976
8220,100380.86546943198,100358.78682943199,0.0,-22.078640000000032
8280,100380.63077588599,100355.94689943198,0.0,-24.91856999999993
8340,100380.63077588599,100349.312015886,0.0,-31.318760000000047
8400,100380.63077588599,100330.484565886,0.0,-50.14621000000001
8460,100380.63077588599,100332.58425588597,0.0,-48.046519999999916
8520,100380.63077588599,100352.839625886,0.0,-27.791149999999973
8580,100380.274520486,100345.54851588598,0.0,-35.08225999999992
8640,100397.155941862,100230.28127048598,0.0,-149.9932500000004
8700,100397.155941862,100364.367261862,0.0,-32.78868000000045
8760,100427.01365594,100342.91891186201,0.0,-54.23703000000043
8820,100427.01365594,100411.11981594,0.0,-15.893840000000047
8880,100427.01365594,100394.04527593999,0.0,-32.96838000000024
