,balance,equity,balance_btc,equity_btc
0,100003.4913824,100000.0,0.0,0.0
60,100003.4913824,100000.0,0.0,0.0
120,100003.4913824,100000.0,0.0,0.0
180,100003.4913824,100000.0,0.0,0.0
240,100003.4913824,100000.0,0.0,0.0
300,100003.4913824,100000.0,0.0,0.0
360,100003.4913824,100000.0,0.0,0.0
420,100003.4913824,100000.0,0.0,0.0
480,100003.4913824,100000.0,0.0,0.0
540,100003.4913824,100000.0,0.0,0.0
600,100003.4913824,100000.0,0.0,0.0
660,100003.4913824,100000.0,0.0,0.0
720,100006.62703897199,100003.4913824,0.0,0.0
780,100010.02982751597,100013.65419897198,0.0,7.027159999999963
840,100009.89244971598,100003.70812259597,0.0,-6.252730000000022
900,100013.26887393597,100017.53870971597,0.0,7.646260000000005
960,100013.26887393597,99990.81892393598,0.0,-22.449949999999973
1020,100013.26887393597,99993.68368393596,0.0,-19.58518999999997
1080,100013.26887393597,100006.06290393598,0.0,-7.205969999999981
1140,100013.26887393597,99995.83894393597,0.0,-17.429929999999967
1200,100013.26887393597,99990.83069393598,0.0,-22.43818000000001
1260,100016.71370103597,99994.04297393597,0.0,-19.2259
1320,100016.71370103597,100013.49695103597,0.0,-3.216750000000042
1380,100020.18545789998,100008.78379103598,0.0,-7.929910000000014
1440,100020.18545789998,100008.43353789997,0.0,-11.751920000000053
1500,100020.18545789998,100013.49394789999,0.0,-6.691510000000031
1560,100020.18545789998,100006.38750789997,0.0,-13.797950000000053
1620,100020.18545789998,100009.61150789999,0.0,-10.573950000000046
1680,100020.18545789998,100011.53639789998,0.0,-8.649060000000013
1740,100020.18545789998,100008.18150789996,0.0,-12.003950000000028
1800,100020.18545789998,100008.89192789998,0.0,-11.293529999999997
1860,100020.11649630997,100007.89449789998,0.0,-12.29096000000004
1920,100020.11649630997,100001.62184630995,0.0,-18.49465000000003
1980,100020.11649630997,100002.02487630997,0.0,-18.091620000000056
2040,100020.11649630997,100013.48187630998,0.0,-6.634620000000001
2100,100023.59043599798,100020.59400630996,0.0,0.47750999999997923
2160,100027.16487408598,100023.73064599797,0.0,0.14020999999996286
2220,100030.64528914598,100026.53377408598,0.0,-0.6311000000000435
2280,100030.64528914598,100031.60008914597,0.0,0.9547999999999739
2340,100030.64528914598,100029.37148914598,0.0,-1.2738000000000347
2400,100034.18361866598,100029.01288914598,0.0,-1.6324000000000214
2460,100034.18361866598,100033.69961866598,0.0,-0.48400000000000043
2520,100033.97666188197,100035.87761866598,0.0,1.6939999999999746
2580,100037.45446504197,100034.62208188197,0.0,0.6454199999999899
2640,100037.45446504197,100038.85805504197,0.0,1.4035899999998818
2700,100040.92982524197,100043.56246524198,0.0,2.6326399999999635
2760,100040.86084425196,100041.64610524196,0.0,0.7162799999999727
2820,100044.33585665596,100041.28123425196,0.0,0.4203899999999199
2880,100047.88815126596,100044.51455665595,0.0,0.17869999999993968
2940,100047.88815126596,100049.46115126596,0.0,1.572999999999988
3000,100047.88815126596,100049.82415126596,0.0,1.9360000000000017
3060,100047.88815126596,100048.49315126595,0.0,0.6049999999999871
3120,100047.88815126596,100047.04115126596,0.0,-0.8470000000000142
3180,100047.75018958196,100045.83115126596,0.0,-2.057000000000042
3240,100047.54382516195,100034.99100958195,0.0,-12.759180000000036
3300,100047.54382516195,100036.65254516194,0.0,-10.891280000000087
3360,100051.04461502995,100029.99267516194,0.0,-17.551150000000057
3420,100057.97072102995,100047.75456502994,0.0,-3.2900500000000137
3480,100057.83332632596,100055.42483102996,0.0,-2.545890000000032
3540,100064.74417835397,100050.02045632595,0.0,-7.8128700000000375
3600,100064.60676112997,100052.93570835397,0.0,-11.808470000000046
3660,100064.60676112997,100042.97728112996,0.0,-21.62948000000006
3720,100064.45922832997,100036.56828112996,0.0,-28.03848000000007
3780,100064.45922832997,99977.40073832998,0.0,-87.05848999999995
3840,100064.45922832997,99991.65848832998,0.0,-72.80073999999999
3900,100064.45922832997,100012.12666832996,0.0,-52.332559999999944
3960,100064.45922832997,99995.37561832997,0.0,-69.08361000000006
4020,100064.45922832997,100004.86826832998,0.0,-59.59096000000007
4080,100064.45922832997,100006.96499832998,0.0,-57.494229999999874
4140,100064.45922832997,100009.79807832997,0.0,-54.661149999999964
4200,100064.45922832997,100032.44092832998,0.0,-32.01829999999999
4260,100064.45922832997,100031.93229832995,0.0,-32.526929999999965
4320,100064.45922832997,100026.64432832996,0.0,-37.8149
4380,100063.86869082798,100003.64205832998,0.0,-60.81717000000002
4440,100063.86869082798,99938.48782082798,0.0,-125.38087000000033
4500,100063.86869082798,99967.98358082797,0.0,-95.8851100000003
4560,100062.94259581598,99947.86490082799,0.0,-116.00379000000032
4620,100062.33369544598,99939.29913581598,0.0,-123.64346000000087
4680,100062.33369544598,99865.580385446,0.0,-196.75331000000102
4740,100062.33369544598,99872.93688544598,0.0,-189.39681000000155
4800,100093.98544409598,99951.210665446,0.0,-111.12303000000114
4860,100093.91643079597,100059.93696409598,0.0,-34.048480000000794
4920,100093.91643079597,99919.818320796,0.0,-174.0981100000007
4980,100093.45338181197,99941.58345079597,0.0,-152.33298000000119
5040,100192.28319737196,100019.96204181197,0.0,-73.49134000000154
5100,100202.85470187195,100174.65978737196,0.0,-17.62341000000039
5160,100202.85470187195,100198.87420187195,0.0,-3.9805000000002035
5220,100202.85470187195,100190.38603187195,0.0,-12.468670000000145
5280,100202.85470187195,100205.06827187195,0.0,2.213569999999868
5340,100202.78559515196,100197.26833187195,0.0,-5.58637000000021
5400,100206.27577643195,100193.10000515195,0.0,-9.685590000000161
5460,100206.27577643195,100198.85412643195,0.0,-7.421650000000171
5520,100206.27577643195,100196.56002643195,0.0,-9.715750000000202
5580,100206.27577643195,100202.06586643195,0.0,-4.209910000000158
5640,100206.27577643195,100208.94816643196,0.0,2.6723899999997767
5700,100206.27577643195,100200.23058643195,0.0,-6.045190000000119
5760,100209.77051873195,100202.06586643195,0.0,-4.209910000000158
5820,100209.77051873195,100212.21349873196,0.0,2.4429799999998223
5880,100209.77051873195,100209.68998873195,0.0,-0.08053000000016455
5940,100209.70142307995,100197.61390307995,0.0,-12.087520000000184
6000,100223.90141467795,100205.07190307995,0.0,-4.6295200000002
6060,100223.90141467795,100223.90141467795,0.0,0.0
6120,100223.83231092595,100223.90141467795,0.0,0.0
6180,100223.83231092595,100226.14131092594,0.0,2.3089999999999917
6240,100223.83231092595,100224.38647092595,0.0,0.55415999999998
6300,100223.76322636595,100225.03299092595,0.0,1.2006799999999909
6360,100223.48642525393,100216.85214367394,0.0,-6.7038099999999705
6420,100223.48642525393,100186.7244952539,0.0,-36.76192999999997
6480,100223.48642525393,100189.98686525392,0.0,-33.49956000000001
6540,100223.48642525393,100196.66524525394,0.0,-26.821179999999927
6600,100223.48642525393,100215.44385525392,0.0,-8.042569999999984
6660,100223.48642525393,100205.61037525393,0.0,-17.87604999999996
6720,100223.48642525393,100193.17601525392,0.0,-30.31040999999994
6780,100223.48642525393,100203.31180525394,0.0,-20.174619999999944
6840,100223.48642525393,100201.75190525393,0.0,-21.734519999999947
6900,100223.48642525393,100202.79309525393,0.0,-20.693329999999918
6960,100223.48642525393,100206.73902525393,0.0,-16.74739999999999
7020,100223.48642525393,100215.5270252539,0.0,-7.959399999999933
7080,100223.48642525393,100211.14829525394,0.0,-12.338129999999946
7140,100226.98858235392,100206.1790152539,0.0,-17.30740999999999
7200,100226.98858235392,100213.95723235392,0.0,-13.031349999999954
7260,100226.98858235392,100190.78319235393,0.0,-36.205389999999944
7320,100226.98858235392,100204.87121235392,0.0,-22.117369999999994
7380,100230.47588637393,100205.21975235394,0.0,-21.768829999999987
7440,100230.47588637393,100216.31627637392,0.0,-14.159609999999986
7500,100230.47588637393,100223.11872637393,0.0,-7.357160000000008
7560,100230.47588637393,100227.05240637393,0.0,-3.4234799999999304
7620,100230.47588637393,100233.44098637393,0.0,2.9651000000000067
7680,100233.95315200993,100234.33122637394,0.0,3.855339999999944
7740,100233.95315200993,100230.91945200993,0.0,-3.0336999999999748
7800,100237.48804512993,100230.28903200992,0.0,-3.6641199999999436
7860,100237.48804512993,100236.32682512993,0.0,-1.161220000000042
7920,100237.41892964992,100237.60243512993,0.0,0.11439000000000554
7980,100237.41892964992,100233.52229964992,0.0,-3.8966299999999943
8040,100237.41892964992,100229.05339964993,0.0,-8.365530000000016
8100,100237.41892964992,100228.80279964993,0.0,-8.61612999999999
8160,100237.41892964992,100226.68160964992,0.0,-10.737319999999984
8220,100237.41892964992,100224.41597964992,0.0,-13.00295000000002
8280,100237.28073610793,100222.74297964993,0.0,-14.675949999999958
8340,100237.28073610793,100218.83555610794,0.0,-18.445180000000025
8400,100237.28073610793,100207.74911610792,0.0,-29.531620000000004
8460,100237.28073610793,100208.98548610792,0.0,-28.295249999999946
8520,100237.28073610793,100220.91365610794,0.0,-16.367079999999987
8580,100237.06295962793,100216.61977610794,0.0,-20.660959999999953
8640,100247.40080930793,100148.00235962795,0.0,-89.06060000000014
8700,100247.40080930793,100229.00069930794,0.0,-18.400109999999987
8760,100265.20421009195,100216.04334930795,0.0,-31.357459999999982
8820,100265.20421009195,100256.35682009194,0.0,-8.84738999999994
8880,100265.20421009195,100246.03569009194,0.0,-19.168520000000058
8940,100265.20421009195,100238.81416009195,0.0,-26.390049999999977
9000,100265.06592313995,100236.55736009195,0.0,-28.646849999999944
9060,100265.06592313995,100218.92672313994,0.0,-46.139200000000095
9120,100268.55766150795,100234.55013313996,0.0,-30.515790000000045
9180,100268.55766150795,100254.80290150794,0.0,-13.754760000000001
9240,100268.55766150795,100246.03418150794,0.0,-22.523480000000067
9300,100268.48853933194,100236.40586150796,0.0,-32.151799999999966
9360,100275.51404647595,100236.11444933194,0.0,-32.37408999999995
9420,100275.51404647595,100261.49515647595,0.0,-14.018890000000008
9480,100275.51404647595,100265.55369647594,0.0,-9.960350000000009
9540,100275.37576839596,100257.29959647595,0.0,-18.214450000000067
9600,100278.78580645596,100255.11928421594,0.0,-23.73564999999997
9660,100285.78749671594,100249.31102645595,0.0,-29.47478000000002
9720,100303.64653852193,100278.59697671594,0.0,-7.190520000000043
9780,100303.64653852193,100303.64653852193,0.0,0.0
9840,100303.64653852193,100303.64653852193,0.0,0.0
9900,100303.64653852193,100303.64653852193,0.0,0.0
9960,100303.64653852193,100303.64653852193,0.0,0.0
10020,100303.64653852193,100303.64653852193,0.0,0.0
10080,100303.64653852193,100303.64653852193,0.0,0.0
10140,100303.64653852193,100303.64653852193,0.0,0.0
10200,100303.64653852193,100303.64653852193,0.0,0.0
10260,100303.64653852193,100303.64653852193,0.0,0.0
10320,100303.64653852193,100303.64653852193,0.0,0.0
10380,100306.75650683594,100303.64653852193,0.0,0.0
10440,100306.61872548594,100303.86673683592,0.0,-2.889770000000069
10500,100313.67853343794,100288.36164548594,0.0,-18.25708000000003
10560,100317.13371243794,100310.75303343794,0.0,-2.9255000000000053
10620,100317.13371243794,100315.13569243794,0.0,-1.998020000000022
10680,100320.55591306592,100312.70523056592,0.0,-4.359309999999975
10740,100320.55591306592,100324.75206306593,0.0,4.196149999999978
10800,100323.94585766592,100320.26467306593,0.0,-0.2912399999999642
10860,100323.94585766592,100315.47859766592,0.0,-8.467259999999987
10920,100323.94585766592,100317.29150766593,0.0,-6.654349999999994
10980,100327.49511133392,100322.62305766591,0.0,-1.322800000000033
11040,100338.09254904992,100325.74149133392,0.0,-1.7536199999999749
11100,100338.09254904992,100338.09254904992,0.0,0.0
11160,100338.09254904992,100338.09254904992,0.0,0.0
11220,100338.09254904992,100338.09254904992,0.0,0.0
11280,100338.09254904992,100338.09254904992,0.0,0.0
11340,100338.09254904992,100338.09254904992,0.0,0.0
11400,100338.02331414992,100338.09254904992,0.0,0.0
11460,100337.95414353591,100338.21476414992,0.0,0.1914499999999771
11520,100351.73650692591,100334.2321935359,0.0,-3.7219499999999894
11580,100355.22656432391,100353.42823692592,0.0,1.691729999999985
11640,100355.22656432391,100354.7274643239,0.0,-0.4991000000000077
11700,100355.22656432391,100354.4733643239,0.0,-0.7532000000000153
11760,100355.1573887239,100354.50206432391,0.0,-0.7245000000000256
11820,100358.6577786839,100353.92068872391,0.0,-1.2367000000000146
11880,100362.0785870839,100360.6039501559,0.0,-1.5438500000000206
11940,100362.00938546991,100355.7577770839,0.0,-6.320809999999956
12000,100362.00938546991,100354.02335546991,0.0,-7.986029999999971
12060,100362.00938546991,100356.2655254699,0.0,-5.74386000000004
12120,100361.9401790699,100357.38409546991,0.0,-4.625290000000011
12180,100361.9401790699,100355.24041906992,0.0,-6.699759999999967
12240,100361.9401790699,100346.21904906991,0.0,-15.721130000000013
12300,100365.4342598699,100349.89300906991,0.0,-12.047170000000024
12360,100365.4342598699,100359.0640298699,0.0,-6.370229999999991
12420,100365.4342598699,100360.5474298699,0.0,-4.88682999999997
12480,100372.4578524959,100364.6472075559,0.0,-4.320630000000015
12540,100372.4578524959,100368.19870249591,0.0,-4.259150000000019
12600,100372.31943915591,100368.4661024959,0.0,-3.9917500000000388
12660,100372.2502176299,100368.02001762991,0.0,-4.230200000000017
12720,100375.7369147779,100371.8037776299,0.0,-0.4464399999999834
12780,100375.5985057359,100364.3952447779,0.0,-11.341670000000004
12840,100375.52929945591,100353.03440945591,0.0,-22.494890000000108
12900,100375.52929945591,100348.44601945592,0.0,-27.08328000000009
12960,102012.29216350791,100348.00414945593,0.0,-27.525150000000064
13020,102070.95146835841,101620.77179716792,0.0,-391.45001999999977
13080,102070.80097155842,102032.90567098188,0.0,-38.045797376513036
13140,102103.11380494441,101939.07293418191,0.0,-131.7280373765136
13200,102103.11380494441,101994.03897756789,0.0,-109.07482737651323
13260,102103.11380494441,102024.79580756792,0.0,-78.31799737651353
13320,102103.11380494441,102075.46710756792,0.0,-27.646697376512844
13380,102224.52103874991,102060.72136756791,0.0,-42.39243737651337
13440,102224.52103874991,102224.52103874991,0.0,0.0
13500,102224.45055784991,102224.52103874991,0.0,0.0
13560,102242.0310167859,102224.09443945788,0.0,-0.07495999999995945
13620,102241.6087516959,102242.0310167859,0.0,0.0
13680,102245.20040276789,102249.2645316959,0.0,7.6557800000000205
13740,102252.39998562388,102250.43481276788,0.0,5.234410000000056
13800,102252.25984802388,102258.09892562387,0.0,5.698939999999995
13860,102255.77435809388,102245.01844802387,0.0,-7.241400000000054
13920,102254.47787724988,102232.23112809387,0.0,-23.543230000000026
13980,102323.61687148586,102184.03697724987,0.0,-70.44090000000031
14040,102334.57695066788,102327.62274148586,0.0,4.005870000000112
14100,102338.12826833788,102326.22242066788,0.0,-8.35453
14160,102352.4644926879,102340.23308833787,0.0,2.104820000000048
14220,102355.94970390388,102351.94285268789,0.0,-0.5216400000000021
14280,102355.94970390388,102355.87518390389,0.0,-0.07451999999998517
14340,102373.38840816588,102354.75738390388,0.0,-1.1923199999999745
14400,102377.06196088588,102374.36563816587,0.0,0.9772300000000431
14460,102376.99138576588,102378.66414088588,0.0,1.6021800000000255
14520,102380.66226220588,102378.19702576588,0.0,1.2056400000000602
14580,102380.37947196589,102382.22718220588,0.0,1.5649200000000063
14640,102380.30887796589,102378.67636196589,0.0,-1.7031100000000312
14700,102383.90355076588,102366.10535796588,0.0,-14.203520000000005
14760,102383.90355076588,102375.45186076588,0.0,-8.451689999999967
14820,102383.83296052589,102371.22313076588,0.0,-12.680419999999962
14880,102383.68195258589,102367.26579052588,0.0,-16.567169999999916
14940,102383.68195258589,102364.60612258589,0.0,-19.075830000000195
15000,102401.89773017388,102335.65530258589,0.0,-48.02665000000016
15060,102409.03862787788,102397.07422017388,0.0,-4.823509999999942
15120,102416.09265130987,102409.39691787786,0.0,0.3582900000000489
15180,102419.51184728986,102416.54263938987,0.0,0.5205900000000194
15240,102419.51184728986,102421.25040728986,0.0,1.738560000000031
15300,102433.69589491388,102414.34369728986,0.0,-5.168149999999981
15360,102447.6282115259,102424.85416491388,0.0,-8.841729999999945
