,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,SOL,0.0,-0.3306258738,99999.6693741262,0.0,99999.6693741262,1.0,686.43,2.4083,686.43,2.4083,entry_initial_normal_long
1,243,SOL,-30.477491999999994,-0.3245303754,99968.8673517508,0.0,99968.8673517508,1.0,-686.43,2.3639,0.0,2.4083,close_trailing_long
2,244,SOL,0.0,-0.33052315379999997,99968.536828597,0.0,99968.536828597,1.0,698.81,2.3649,698.81,2.3649,entry_initial_normal_long
3,721,SOL,-34.660975999999906,-0.3235909586,99933.5522616384,0.0,99933.5522616384,1.0,-698.81,2.3153,0.0,2.3649,close_trailing_long
4,722,SOL,0.0,-0.330403634,99933.2218580044,0.0,99933.2218580044,1.0,711.77,2.321,711.77,2.321,entry_initial_normal_long
5,948,SOL,-5.8365139999999895,-0.32923633120000007,99927.0561076732,0.0,99927.0561076732,1.0,-711.77,2.3128,0.0,2.321,close_trailing_long
6,949,SOL,0.0,-0.330384997,99926.7257226762,0.0,99926.7257226762,1.0,715.15,2.3099,715.15,2.3099,entry_initial_normal_long
7,1986,SOL,-31.395084999999877,-0.32410598,99895.0065316962,0.0,99895.0065316962,1.0,-715.15,2.266,0.0,2.3099,close_trailing_long
8,1987,SOL,0.0,-0.3302782624000001,99894.6762534338,0.0,99894.6762534338,1.0,728.48,2.2669,728.48,2.2669,entry_initial_normal_long
9,3086,SOL,-29.430591999999994,-0.32439214400000005,99864.9212692898,0.0,99864.9212692898,1.0,-728.48,2.2265,0.0,2.2669,close_trailing_long
10,3087,SOL,0.0,-0.330175176,99864.5910941138,0.0,99864.5910941138,1.0,741.9,2.2252,741.9,2.2252,entry_initial_normal_long
11,3884,SOL,-15.80247000000007,-0.327014682,99848.4616094318,0.0,99848.4616094318,1.0,-741.9,2.2039,0.0,2.2252,close_trailing_long
12,3885,SOL,0.0,-0.33012078320000005,99848.1314886486,0.0,99848.1314886486,1.0,745.16,2.2151,745.16,2.2151,entry_initial_normal_long
13,5202,SOL,-33.606716000000105,-0.32339944,99814.2013732086,0.0,99814.2013732086,1.0,-745.16,2.17,0.0,2.2151,close_trailing_long
