,balance,equity,balance_btc,equity_btc
0,99999.65451728,100000.0,0.0,0.0
60,99999.65451728,99992.91987728,0.0,-6.734640000000217
120,99999.65451728,99998.18491728,0.0,-1.469600000000064
180,99999.65451728,100004.34491728,0.0,4.6903999999999355
240,99999.65451728,99979.96187728,0.0,-19.692640000000218
300,99999.65451728,99977.81291728,0.0,-21.841600000000064
360,99999.65451728,99985.89659727999,0.0,-13.757920000000013
420,99999.65451728,99972.55931728,0.0,-27.095200000000126
480,99999.65451728,99991.10003727999,0.0,-8.554479999999923
540,99999.65451728,99990.11707728,0.0,-9.537440000000089
600,100011.8113336,99998.80091728,0.0,-0.853600000000064
660,100023.32597916,100011.8113336,0.0,0.0
720,100058.90471884,100011.46939915999,0.0,-11.856580000000102
780,100118.43836486,100005.35151884,0.0,-53.55319999999986
840,100154.4140583,100123.33853486,0.0,4.900170000000217
900,100154.4140583,100154.4140583,0.0,0.0
960,100154.06627086,100154.4140583,0.0,0.0
1020,100154.06627086,100152.28449086,0.0,-1.781780000000159
1080,100154.06627086,100150.43810086,0.0,-3.628169999999907
1140,100154.06627086,100124.79157086,0.0,-29.274700000000067
1200,100154.06627086,100150.02314086,0.0,-4.043130000000026
1260,100154.06627086,100146.44502086,0.0,-7.62125
1320,100154.06627086,100154.89255086,0.0,0.8262799999998278
1380,100154.06627086,100138.88747086,0.0,-15.178799999999933
1440,100154.06627086,100121.82042086,0.0,-32.245850000000196
1500,100154.06627086,100126.01097086,0.0,-28.05529999999993
1560,100154.06627086,100130.75662086,0.0,-23.309650000000133
1620,100154.06627086,100111.61295086,0.0,-42.45332000000004
1680,100154.06627086,100112.95156086,0.0,-41.114710000000116
1740,100154.06627086,100102.54298086,0.0,-51.52329000000021
1800,100154.06627086,100114.05175086,0.0,-40.014520000000104
1860,100154.06627086,100141.57106086,0.0,-12.49521000000012
1920,100166.30126636,100156.01822086,0.0,1.9519500000000662
1980,100166.30126636,100166.30126636,0.0,0.0
2040,100166.30126636,100166.30126636,0.0,0.0
2100,100166.30126636,100166.30126636,0.0,0.0
2160,100165.9540418,100166.30126636,0.0,0.0
2220,100178.1715038,100171.2790018,0.0,5.324959999999759
2280,100177.82388915999,100178.1715038,0.0,0.0
2340,100177.82388915999,100177.80732915999,0.0,-0.016560000000026776
2400,100189.71220092,100178.40900916,0.0,0.5851200000000535
2460,100201.929731,100190.60644091999,0.0,0.8942399999997724
2520,100201.929731,100201.929731,0.0,0.0
2580,100201.929731,100201.929731,0.0,0.0
2640,100201.929731,100201.929731,0.0,0.0
2700,100201.929731,100201.929731,0.0,0.0
2760,100201.929731,100201.929731,0.0,0.0
2820,100201.929731,100201.929731,0.0,0.0
2880,100201.929731,100201.929731,0.0,0.0
2940,100201.58056891999,100201.929731,0.0,0.0
3000,100201.58056891999,100205.65892891999,0.0,4.078359999999826
3060,100213.86967867998,100210.31228891999,0.0,8.731719999999987
3120,100213.86967867998,100213.86967867998,0.0,0.0
3180,100213.52055523999,100213.86967867998,0.0,0.0
3240,100213.52055523999,100208.29127523999,0.0,-5.2292800000000135
3300,100225.80970363998,100212.84067523999,0.0,-0.6798799999999464
3360,100225.80970363998,100225.80970363998,0.0,0.0
3420,100225.80970363998,100225.80970363998,0.0,0.0
3480,100225.80970363998,100225.80970363998,0.0,0.0
3540,100225.80970363998,100225.80970363998,0.0,0.0
3600,100225.80970363998,100225.80970363998,0.0,0.0
3660,100225.80970363998,100225.80970363998,0.0,0.0
3720,100225.80970363998,100225.80970363998,0.0,0.0
3780,100225.80970363998,100225.80970363998,0.0,0.0
3840,100225.80970363998,100225.80970363998,0.0,0.0
3900,100225.80970363998,100225.80970363998,0.0,0.0
3960,100225.80970363998,100225.80970363998,0.0,0.0
