,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,BNB,0.0,-0.21335787200000006,99999.786642128,0.0,99999.786642128,1.0,62.93,16.952,62.93,16.952,entry_initial_normal_long
1,2,BTC,0.0,-0.213026652,99999.57361547601,0.0,99999.57361547601,1.0,0.123,8659.62,0.123,8659.62,entry_initial_normal_long
2,846,BTC,9.486989999999901,-0.21492405,100008.84568142601,0.0,100008.84568142601,1.0,-0.123,8736.75,0.0,8659.62,close_trailing_long
3,847,BTC,0.0,-0.213483896,100008.63219753001,0.0,100008.63219753001,1.0,0.122,8749.34,0.122,8749.34,entry_initial_normal_long
4,961,BNB,8.117969999999861,-0.214981466,100016.53518606401,0.0,100016.53518606401,1.0,-62.93,17.081,0.0,16.952,close_trailing_long
5,962,BNB,0.0,-0.213398988,100016.32178707601,0.0,100016.32178707601,1.0,62.54,17.061,62.54,17.061,entry_initial_normal_long
6,3631,BTC,15.501319999999938,-0.21658416,100031.60652291602,0.0,100031.60652291602,1.0,-0.122,8876.4,0.0,8749.34,close_trailing_long
7,3632,BNB,4.627960000000101,-0.21432458000000001,100036.02015833602,0.0,100036.02015833602,1.0,-62.54,17.135,0.0,17.061,close_trailing_long
8,3632,BTC,0.0,-0.21341832,100035.80674001602,0.0,100035.80674001602,1.0,0.12,8892.43,0.12,8892.43,entry_initial_normal_long
9,3633,BNB,0.0,-0.21343948800000004,100035.59330052802,0.0,100035.59330052802,1.0,62.22,17.152,62.22,17.152,entry_initial_normal_long
10,4398,BTC,0.0,-0.32623640000000004,100035.26706412803,0.0,100035.26706412803,1.0,0.188,8676.5,0.308,8760.628571428571,entry_grid_normal_long
11,4403,BNB,0.0,-0.3258000200000001,100034.94126410803,0.0,100034.94126410803,1.0,97.37,16.73,159.59,16.89452685005326,entry_grid_normal_long
12,4654,BNB,0.0,-0.82270944,100034.11855466802,0.0,100034.11855466802,1.0,249.76,16.47,409.35,16.63550687675583,entry_grid_normal_long
13,4657,BTC,0.0,-0.8235259199999999,100033.29502874802,0.0,100033.29502874802,1.0,0.482,8542.8,0.79,8627.725569620252,entry_grid_normal_long
14,4805,BTC,31.22340784810151,-0.8155253399999999,100063.70291125613,0.0,100063.70291125613,1.0,-0.469,8694.3,0.321,8627.725569620252,close_grid_long
15,4806,BTC,11.59076873417734,-0.293935278,100074.9997447123,0.0,100074.9997447123,1.0,-0.169,8696.31,0.152,8627.725569620252,close_grid_long
16,5121,BNB,46.88512863026863,-1.0889548800000002,100120.79591846257,0.0,100120.79591846257,1.0,-324.48,16.78,84.87,16.63550687675583,close_grid_long
17,6371,BTC,23.82667341772164,-0.26704819199999996,100144.35554368829,0.0,100144.35554368829,1.0,-0.152,8784.48,0.0,8627.725569620252,close_trailing_long
18,6372,BNB,1.9089913697328087,-0.28275289200000003,100145.98178216603,0.0,100145.98178216603,1.0,-84.87,16.658,0.0,16.63550687675583,close_trailing_long
19,6372,BTC,0.0,-0.21299678400000002,100145.76878538202,0.0,100145.76878538202,1.0,0.121,8801.52,0.121,8801.52,entry_initial_normal_long
20,6373,BNB,0.0,-0.21365530400000005,100145.55513007802,0.0,100145.55513007802,1.0,64.03,16.684,64.03,16.684,entry_initial_normal_long
21,8632,BNB,-10.244800000000009,-0.21160634400000006,100135.09872373402,0.0,100135.09872373402,1.0,-64.03,16.524,0.0,16.684,close_trailing_long
22,8633,BNB,0.0,-0.21362946000000002,100134.88509427401,0.0,100134.88509427401,1.0,64.65,16.522,64.65,16.522,entry_initial_normal_long
23,8637,BTC,36.120920000000055,-0.22022096800000002,100170.78579330601,0.0,100170.78579330601,1.0,-0.121,9100.04,0.0,8801.52,close_trailing_long
24,8638,BTC,0.0,-0.21382124400000002,100170.57197206201,0.0,100170.57197206201,1.0,0.117,9137.66,0.117,9137.66,entry_initial_normal_long
25,8642,BNB,0.0,-0.32620432000000005,100170.24576774202,0.0,100170.24576774202,1.0,101.18,16.12,165.83,16.27672254718688,entry_grid_normal_long
26,8657,BNB,10.528918772236619,-0.259278,100180.51540851426,0.0,100180.51540851426,1.0,-79.0,16.41,86.83,16.27672254718688,close_grid_long
27,11936,BTC,63.8082900000001,-0.22658290200000003,100244.09711561225,0.0,100244.09711561225,1.0,-0.117,9683.03,0.0,9137.66,close_trailing_long
28,11937,BTC,0.0,-0.21343850000000003,100243.88367711226,0.0,100243.88367711226,1.0,0.11,9701.75,0.11,9701.75,entry_initial_normal_long
29,12211,BNB,47.867421227763295,-0.292235048,100291.45886329202,0.0,100291.45886329202,1.0,-86.83,16.828,0.0,16.27672254718688,close_trailing_long
30,12212,BNB,0.0,-0.213966606,100291.24489668602,0.0,100291.24489668602,1.0,63.39,16.877,63.39,16.877,entry_initial_normal_long
31,12965,BNB,-15.150209999999824,-0.21093656400000005,100275.88375012203,0.0,100275.88375012203,1.0,-63.39,16.638,0.0,16.877,close_trailing_long
32,12965,BTC,0.0,-0.32563728000000003,100275.55811284203,0.0,100275.55811284203,1.0,0.172,9466.2,0.282,9558.08120567376,entry_grid_normal_long
