,balance,equity,balance_btc,equity_btc
0,100012.355651492,100000.0,0.0,0.0
60,100012.355651492,100000.0,0.0,0.0
120,100012.355651492,100000.0,0.0,0.0
180,100012.355651492,100000.0,0.0,0.0
240,100012.355651492,100000.0,0.0,0.0
300,100012.355651492,100000.0,0.0,0.0
360,100012.355651492,100000.0,0.0,0.0
420,100012.355651492,100000.0,0.0,0.0
480,100012.355651492,100000.0,0.0,0.0
540,100012.355651492,100000.0,0.0,0.0
600,100012.355651492,100000.0,0.0,0.0
660,100012.355651492,100000.0,0.0,0.0
720,100012.355651492,100023.422307492,0.0,11.06665599999997
780,100025.695121968,100013.047317492,0.0,0.6916659999997918
840,100025.203975918,100025.695121968,0.0,0.0
900,100025.203975918,99994.766755918,0.0,-30.43722000000014
960,100025.203975918,99998.91728591801,0.0,-26.28669000000019
1020,100025.203975918,99975.397615918,0.0,-49.80636000000001
1080,100025.203975918,99933.892315918,0.0,-91.31166000000012
1140,100025.203975918,99937.351090918,0.0,-87.85288500000026
1200,100025.203975918,99944.96039591801,0.0,-80.24358000000015
1260,100025.203975918,99985.082185918,0.0,-40.121790000000225
1320,100025.203975918,99991.307980918,0.0,-33.895995
1380,100025.203975918,99980.23990091801,0.0,-44.96407500000027
1440,100025.203975918,99987.157450918,0.0,-38.04652500000025
1500,100025.203975918,99971.93884091801,0.0,-53.26513500000017
1560,100025.203975918,99998.225530918,0.0,-26.97844500000028
1620,100025.203975918,99980.931655918,0.0,-44.27232000000018
1680,100025.203975918,99971.93884091801,0.0,-53.26513500000017
1740,100025.203975918,99969.863575918,0.0,-55.340400000000145
1800,100025.203975918,99997.53377591801,0.0,-27.670200000000072
1860,100025.203975918,99973.32235091801,0.0,-51.881625000000284
1920,100025.203975918,99992.691490918,0.0,-32.51248500000011
1980,100025.203975918,99989.232715918,0.0,-35.97126000000027
2040,100025.203975918,100001.68430591801,0.0,-23.519670000000122
2100,100025.203975918,99996.842020918,0.0,-28.361955000000165
2160,100025.203975918,100000.30079591801,0.0,-24.903180000000006
2220,100025.203975918,99998.225530918,0.0,-26.97844500000028
2280,100025.203975918,99992.691490918,0.0,-32.51248500000011
2340,100025.203975918,99989.232715918,0.0,-35.97126000000027
2400,100025.203975918,99987.849205918,0.0,-37.35477000000016
2460,100025.203975918,99968.480065918,0.0,-56.72391000000003
2520,100025.203975918,99969.17182091801,0.0,-56.03215500000024
2580,100025.203975918,99988.540960918,0.0,-36.663015000000065
2640,100025.203975918,99975.397615918,0.0,-49.80636000000001
2700,100025.203975918,99993.383245918,0.0,-31.820730000000022
2760,100025.203975918,99985.773940918,0.0,-39.43003500000013
2820,100025.203975918,99986.465695918,0.0,-38.73828000000004
2880,100025.203975918,100007.910100918,0.0,-17.293875000000195
2940,100025.203975918,100009.293610918,0.0,-15.910365000000011
3000,100025.203975918,99980.23990091801,0.0,-44.96407500000027
3060,100025.203975918,99989.232715918,0.0,-35.97126000000027
3120,100025.203975918,99983.00692091801,0.0,-42.1970550000002
3180,100025.203975918,99968.480065918,0.0,-56.72391000000003
3240,100025.203975918,99972.630595918,0.0,-52.57338000000008
3300,100025.203975918,99968.480065918,0.0,-56.72391000000003
3360,100025.203975918,99979.548145918,0.0,-45.65583000000006
3420,100025.203975918,99985.773940918,0.0,-39.43003500000013
3480,100025.203975918,99980.931655918,0.0,-44.27232000000018
3540,100025.203975918,99983.698675918,0.0,-41.50530000000011
3600,100025.203975918,99987.849205918,0.0,-37.35477000000016
3660,100025.203975918,99973.32235091801,0.0,-51.881625000000284
3720,100025.203975918,99962.946025918,0.0,-62.257950000000164
3780,100025.203975918,99940.80986591801,0.0,-84.3941100000001
3840,100025.203975918,99948.419170918,0.0,-76.78480499999999
3900,100025.203975918,99955.336720918,0.0,-69.86725500000027
3960,100025.203975918,99951.186190918,0.0,-74.01778500000023
4020,100025.203975918,99956.720230918,0.0,-68.48374500000008
4080,100025.203975918,99952.569700918,0.0,-72.63427500000004
4140,100025.203975918,99953.26145591801,0.0,-71.94252000000024
4200,100025.203975918,99973.32235091801,0.0,-51.881625000000284
4260,100025.203975918,99967.78831091801,0.0,-57.41566500000012
4320,100025.203975918,99971.247085918,0.0,-53.956890000000264
4380,100025.203975918,99976.781125918,0.0,-48.422850000000125
4440,100025.203975918,99972.630595918,0.0,-52.57338000000008
4500,100025.203975918,99979.548145918,0.0,-45.65583000000006
4560,100025.203975918,99987.849205918,0.0,-37.35477000000016
4620,100025.203975918,99991.999735918,0.0,-33.204240000000205
4680,100025.203975918,99977.47288091801,0.0,-47.73109500000003
4740,100025.203975918,99975.397615918,0.0,-49.80636000000001
4800,100025.203975918,99974.014105918,0.0,-51.18987000000019
4860,100025.203975918,99985.082185918,0.0,-40.121790000000225
4920,100025.203975918,99985.773940918,0.0,-39.43003500000013
4980,100025.203975918,99954.644965918,0.0,-70.55901000000007
5040,100025.203975918,99961.562515918,0.0,-63.641460000000045
5100,100025.203975918,99976.08937091801,0.0,-49.11460500000022
5160,100025.203975918,100003.06781591801,0.0,-22.13616000000024
5220,100025.203975918,100018.286425918,0.0,-6.917550000000018
5280,100025.203975918,100018.978180918,0.0,-6.225795000000226
5340,100025.203975918,100004.45132591801,0.0,-20.752650000000056
5400,100025.203975918,100008.60185591801,0.0,-16.602120000000102
5460,100025.203975918,99993.383245918,0.0,-31.820730000000022
5520,100025.203975918,99995.458510918,0.0,-29.74546500000005
5580,100025.203975918,99980.931655918,0.0,-44.27232000000018
5640,100025.203975918,99975.397615918,0.0,-49.80636000000001
5700,100025.203975918,99974.014105918,0.0,-51.18987000000019
5760,100025.203975918,99994.075000918,0.0,-31.12897500000023
5820,100025.203975918,99998.225530918,0.0,-26.97844500000028
5880,100025.203975918,100000.30079591801,0.0,-24.903180000000006
5940,100038.54516284801,100006.526590918,0.0,-18.67738500000008
6000,100038.54516284801,100038.54516284801,0.0,0.0
6060,100038.54516284801,100038.54516284801,0.0,0.0
6120,100038.54516284801,100038.54516284801,0.0,0.0
