,balance,equity,balance_btc,equity_btc
0,100014.68136802799,100000.0,0.0,0.0
60,100014.68136802799,100000.0,0.0,0.0
120,100014.68136802799,100000.0,0.0,0.0
180,100014.68136802799,100000.0,0.0,0.0
240,100014.68136802799,100000.0,0.0,0.0
300,100014.68136802799,100000.0,0.0,0.0
360,100014.68136802799,100000.0,0.0,0.0
420,100014.68136802799,100000.0,0.0,0.0
480,100014.68136802799,100014.68136802799,0.0,0.0
540,100014.68136802799,100014.68136802799,0.0,0.0
600,100022.112764868,100014.68136802799,0.0,0.0
660,100043.49209385796,100022.112764868,0.0,0.0
720,100042.90449358596,100043.41482385795,0.0,-0.07726999999985473
780,100042.90449358596,100024.19272358596,0.0,-18.71176999999976
840,100064.64269710596,99971.81173358597,0.0,-71.09275999999997
900,100064.44677388595,100050.10457388595,0.0,-14.342199999999703
960,100064.44677388595,99967.14941388596,0.0,-97.29736
1020,100071.88163870796,99978.99510388596,0.0,-85.45167000000006
1080,100071.88163870796,100041.99339870796,0.0,-29.888239999999993
1140,100071.68569945396,100020.23116870795,0.0,-51.650469999999935
1200,100071.68569945396,100002.29978945396,0.0,-69.38591000000011
1260,100086.61250138596,100013.88321945396,0.0,-57.80248000000006
1320,100086.61250138596,100060.77957138595,0.0,-25.832929999999948
1380,100086.61250138596,100050.14655138597,0.0,-36.46594999999986
1440,100086.61250138596,100034.09881138596,0.0,-52.513690000000075
1500,100086.22059448397,100055.71441138597,0.0,-30.89808999999996
1560,100086.22059448397,100029.55326448395,0.0,-56.667329999999964
1620,100101.51353998398,100047.69282448395,0.0,-38.52777000000013
1680,100101.51353998398,100060.81126998398,0.0,-40.70226999999994
1740,100101.31755998397,100053.63257998398,0.0,-47.88096
1800,100108.95921214398,100062.76756998397,0.0,-38.54999000000001
1860,100108.76321926397,100065.74656214398,0.0,-43.212650000000096
1920,100108.56722332397,100044.85270926397,0.0,-63.91050999999988
1980,100115.95952941997,100044.78342332397,0.0,-63.783799999999935
2040,100123.63316229997,100083.87951941998,0.0,-32.08000999999978
2100,100123.63316229997,100100.63340229997,0.0,-22.999760000000002
2160,100123.63316229997,100110.91174229998,0.0,-12.721419999999927
2220,100131.01369977197,100115.32274229998,0.0,-8.310419999999953
2280,100131.01369977197,100137.01796977197,0.0,6.0042700000001155
2340,100131.01369977197,100128.84353977196,0.0,-2.1701599999999783
2400,100145.88255496396,100127.94685977197,0.0,-3.0668400000000027
2460,100145.88255496396,100148.51408496396,0.0,2.6315300000000335
2520,100152.89833401996,100148.57007496397,0.0,2.687520000000102
2580,100152.70225757996,100149.75201401996,0.0,-3.146319999999824
2640,100175.47632232397,100157.32738757996,0.0,4.625130000000054
2700,100175.47632232397,100174.02058232397,0.0,-1.455739999999989
2760,100175.28019518797,100174.30053232398,0.0,-1.1757899999998458
