,balance,equity,balance_btc,equity_btc
0,100026.16863448119,100000.0,0.0,0.0
60,100052.92248156598,100021.39203448119,0.0,-4.776600000000137
120,100065.53979224399,100052.92248156598,0.0,0.0
180,100064.01840774207,100062.67248224399,0.0,-2.8673100000002147
240,100063.51128745187,100023.28157495188,0.0,-40.22971249999974
300,100076.63953484686,100020.13694125187,0.0,-43.37434619999927
360,100090.15087161727,100006.62506344687,0.0,-70.01447139999918
420,100145.08226596646,100093.91256661728,0.0,3.761695000000362
480,100145.08226596646,100145.08226596646,0.0,0.0
540,100145.08226596646,100145.08226596646,0.0,0.0
600,100145.08226596646,100145.08226596646,0.0,0.0
660,100145.08226596646,100145.08226596646,0.0,0.0
720,100145.08226596646,100145.08226596646,0.0,0.0
780,100145.08226596646,100145.08226596646,0.0,0.0
840,100145.08226596646,100145.08226596646,0.0,0.0
900,100145.08226596646,100145.08226596646,0.0,0.0
960,100145.08226596646,100145.08226596646,0.0,0.0
1020,100145.08226596646,100145.08226596646,0.0,0.0
1080,100145.08226596646,100145.08226596646,0.0,0.0
1140,100145.08226596646,100145.08226596646,0.0,0.0
1200,100145.08226596646,100145.08226596646,0.0,0.0
1260,100145.08226596646,100145.08226596646,0.0,0.0
1320,100145.08226596646,100145.08226596646,0.0,0.0
1380,100145.08226596646,100145.08226596646,0.0,0.0
1440,100145.08226596646,100145.08226596646,0.0,0.0
1500,100145.08226596646,100145.08226596646,0.0,0.0
1560,100145.08226596646,100145.08226596646,0.0,0.0
1620,100145.08226596646,100145.08226596646,0.0,0.0
1680,100145.08226596646,100145.08226596646,0.0,0.0
1740,100145.08226596646,100145.08226596646,0.0,0.0
1800,100145.08226596646,100145.08226596646,0.0,0.0
1860,100145.08226596646,100145.08226596646,0.0,0.0
1920,100145.08226596646,100145.08226596646,0.0,0.0
1980,100145.08226596646,100145.08226596646,0.0,0.0
2040,100145.08226596646,100145.08226596646,0.0,0.0
2100,100145.08226596646,100145.08226596646,0.0,0.0
2160,100144.57473426606,100145.08226596646,0.0,0.0
2220,100158.14961152046,100143.32667626606,0.0,-1.248058000000011
2280,100168.68434936795,100158.14961152046,0.0,0.0
2340,100168.68434936795,100090.54016276794,0.0,-78.14418660000025
2400,100168.68434936795,100066.97450956795,0.0,-101.7098398000008
2460,100168.68434936795,100101.93795916795,0.0,-66.74639020000039
2520,100168.68434936795,100042.69753096794,0.0,-125.98681840000023
2580,100168.68434936795,100015.39823376795,0.0,-153.28611560000093
2640,100168.68434936795,99974.18975116794,0.0,-194.4945982000013
2700,100168.68434936795,99845.98673376796,0.0,-322.69761560000074
2760,100168.68434936795,99874.35754116793,0.0,-294.326808200001
2820,100168.68434936795,99874.60301996794,0.0,-294.0813294000007
2880,100168.68434936795,99882.00190856795,0.0,-286.6824408000007
2940,100168.68434936795,99976.58130356795,0.0,-192.10304580000033
3000,100168.68434936795,100041.78521536796,0.0,-126.89913400000074
3060,100168.68434936795,100013.15703936794,0.0,-155.52731000000037
3120,100168.68434936795,100005.77327316794,0.0,-162.91107620000074
3180,100182.16440065147,100008.87840576794,0.0,-159.8059436000004
3240,100182.16440065147,100061.08663365147,0.0,-121.07776700000032
3300,100182.16440065147,100073.18923365147,0.0,-108.97516700000018
3360,100182.16440065147,100015.74178465147,0.0,-166.4226160000001
3420,100196.28794101547,100063.95743165146,0.0,-118.20696900000061
3480,100196.28794101547,100101.84534701546,0.0,-94.44259400000064
3540,100194.33402896764,100073.87425101547,0.0,-122.41369000000024
3600,104184.54564613402,99744.88456676764,0.0,-449.44946220000065
3660,104293.443814845,146515.38288025305,0.0,42316.74685490005
3720,104293.443814845,143846.128111345,0.0,39552.68429650002
3780,104307.195584625,141579.29185454504,0.0,37285.848039700024
3840,157681.35546980478,157563.8149888616,0.0,51008.302013167224
3900,157681.35546980478,157333.24475180474,0.0,-348.11071799999917
3960,157681.35546980478,157131.25074680478,0.0,-550.1047229999996
4020,157681.35546980478,156829.19552080473,0.0,-852.159949
4080,157681.35546980478,156971.47689180475,0.0,-709.8785779999996
4140,157681.35546980478,157146.34381480477,0.0,-535.0116550000001
4200,157681.35546980478,157268.0236588048,0.0,-413.33181099999996
4260,157681.35546980478,157082.51066080478,0.0,-598.8448089999995
4320,157681.35546980478,157030.11605180477,0.0,-651.2394180000005
4380,157681.35546980478,157075.4798458048,0.0,-605.8756239999998
4440,157681.35546980478,156819.12622380478,0.0,-862.2292459999994
4500,157701.4549267928,157173.89485880482,0.0,-507.4606110000003
4560,157701.4549267928,157312.76050379282,0.0,-388.6944229999997
4620,157701.4549267928,157373.5256127928,0.0,-327.929314
4680,157701.4549267928,157405.6975077928,0.0,-295.7574190000008
4740,157722.919744121,157482.9333837928,0.0,-218.521543
4800,157880.46587788657,157526.459260121,0.0,-196.4604839999999
4860,157900.14376523776,157717.60497088658,0.0,-162.86090699999994
4920,157899.34353284657,157735.48224623778,0.0,-164.66151899999937
4980,157961.8686820961,157719.81497084655,0.0,-179.52856199999948
5040,157983.43272141513,157840.6121752961,0.0,-121.25650680000015
5100,158003.93342629113,157863.0842644151,0.0,-120.34845700000042
5160,158045.6036661771,157914.3509562911,0.0,-89.58246999999986
5220,158066.1154340371,158046.0760661771,0.0,0.47240000000032145
5280,158066.1154340371,158066.1154340371,0.0,0.0
5340,158066.1154340371,158066.1154340371,0.0,0.0
5400,158066.1154340371,158066.1154340371,0.0,0.0
5460,158066.1154340371,158066.1154340371,0.0,0.0
5520,158066.1154340371,158066.1154340371,0.0,0.0
5580,158066.1154340371,158066.1154340371,0.0,0.0
5640,158065.3143602611,158066.1154340371,0.0,0.0
5700,158065.3143602611,158054.6970802611,0.0,-10.617279999999683
5760,158065.3143602611,158027.1585102611,0.0,-38.155849999999596
5820,158082.93513229312,157983.36223026112,0.0,-81.95212999999966
5880,158103.78921841152,157835.7400360931,0.0,-247.19509619999855
5940,158103.78921841152,157700.6077841115,0.0,-403.181434299999
6000,158103.78921841152,157756.88420681152,0.0,-346.9050115999985
6060,158103.78921841152,157655.63038451155,0.0,-448.1588338999999
6120,158124.24440628174,157760.1958476115,0.0,-343.59337080000023
6180,158166.03645076434,157816.54669409076,0.0,-328.9908265999999
6240,158165.23487139234,157750.34416816433,0.0,-415.6922825999992
6300,158207.89690131953,157790.76010249235,0.0,-374.47476889999956
6360,158204.81241299014,157880.2262089195,0.0,-327.67069239999904
6420,158204.81241299014,157696.50164689016,0.0,-508.3107661000007
6480,158204.81241299014,157636.20692889014,0.0,-568.6054840999999
6540,158204.81241299014,157678.97591239013,0.0,-525.8365005999998
6600,158204.81241299014,157783.36881899013,0.0,-421.44359400000036
6660,158204.81241299014,157235.93530709014,0.0,-968.8771058999998
6720,158204.81241299014,157429.90115369015,0.0,-774.9112593000009
6780,158204.81241299014,156974.75034549015,0.0,-1230.0620674999998
6840,158204.81241299014,157150.85802909013,0.0,-1053.9543838999991
6900,158204.81241299014,157275.06133849008,0.0,-929.7510744999996
6960,158204.81241299014,157332.55083689015,0.0,-872.2615760999997
7020,158204.81241299014,157519.55573169014,0.0,-685.256681300001
7080,158204.81241299014,157512.59181089012,0.0,-692.220602099999
7140,158226.13232466334,157663.19602739013,0.0,-541.6163855999988
7200,158226.13232466334,157750.40811416335,0.0,-475.72421050000037
7260,158226.13232466334,157526.62805396333,0.0,-699.5042707000014
7320,158226.13232466334,157287.89518726332,0.0,-938.2371374000008
7380,158226.13232466334,157422.55576116333,0.0,-803.5765634999996
7440,158225.33043968494,157298.63424666334,0.0,-927.4980780000004
7500,158219.63539146248,157101.67535848494,0.0,-1123.655081200001
7560,158218.15442135648,156509.91090686247,0.0,-1709.7244845999996
7620,158218.15442135648,155310.00582135646,0.0,-2908.1486000000014
7680,158218.15442135648,156268.66077355648,0.0,-1949.4936478000002
7740,158218.15442135648,156478.42127135646,0.0,-1739.7331500000014
7800,158218.15442135648,156516.86127615647,0.0,-1701.2931452000034
7860,158382.02171145947,157568.9327427565,0.0,-649.2216786000033
