,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,HYPE,0.0,-1.559050584,99998.440949416,0.0,99998.440949416,1.0,317.94,24.518,317.94,24.518,entry_initial_normal_long
1,114,HYPE,0.0,-1.647229584,99996.793719832,0.0,99996.793719832,1.0,342.83,24.024,660.77,24.26169596077304,entry_trailing_cropped_long
2,271,HYPE,0.0,-5.43760744,99991.356112392,0.0,99991.356112392,1.0,1151.06,23.62,1811.83,23.854024958191445,entry_grid_normal_long
3,808,HYPE,409.5774150802193,-4.712554224000001,100396.22097324822,0.0,100396.22097324822,1.0,-970.62,24.276,841.21,23.854024958191445,close_grid_long
4,820,HYPE,372.6350349197749,-4.087775874000001,100764.768232294,0.0,100764.768232294,1.0,-841.21,24.297,0.0,23.854024958191445,close_grid_long
5,821,HYPE,0.0,-1.57097682,100763.19725547399,0.0,100763.19725547399,1.0,323.1,24.311,323.1,24.311,entry_initial_normal_long
6,956,HYPE,0.0,-1.6598568599999999,100761.53739861399,0.0,100761.53739861399,1.0,348.9,23.787,672.0,24.03894107142857,entry_trailing_cropped_long
7,967,HYPE,0.0,-5.479203972,100756.05819464198,0.0,100756.05819464198,1.0,1170.62,23.403,1842.62,23.634926495967697,entry_grid_normal_long
8,1155,HYPE,413.6716465653249,-4.748788788,101164.98105241932,0.0,101164.98105241932,1.0,-987.11,24.054,855.51,23.634926495967697,close_grid_long
9,1161,HYPE,375.63177343467675,-4.119109548000001,101536.493716306,0.0,101536.493716306,1.0,-855.51,24.074,0.0,23.634926495967697,close_grid_long
10,1162,HYPE,0.0,-1.5829770360000002,101534.91073927,0.0,101534.91073927,1.0,329.43,24.026,329.43,24.026,entry_initial_normal_long
11,1249,HYPE,150.87894000000065,-1.6131528240000002,101684.176526446,0.0,101684.176526446,1.0,-329.43,24.484,0.0,24.026,close_grid_long
12,1250,HYPE,0.0,-1.585291176,101682.59123527,0.0,101682.59123527,1.0,324.27,24.444,324.27,24.444,entry_initial_normal_long
13,1265,HYPE,150.78554999999994,-1.615448286,101831.761336984,0.0,101831.761336984,1.0,-324.27,24.909,0.0,24.444,close_grid_long
14,1266,HYPE,0.0,-1.58761654,101830.173720444,0.0,101830.173720444,1.0,320.99,24.73,320.99,24.73,entry_initial_normal_long
15,1278,HYPE,150.86529999999965,-1.6177896,101979.421230844,0.0,101979.421230844,1.0,-320.99,25.2,0.0,24.73,close_grid_long
16,1279,HYPE,0.0,-1.5899162880000002,101977.83131455601,0.0,101977.83131455601,1.0,315.66,25.184,315.66,25.184,entry_initial_normal_long
17,1525,HYPE,151.20113999999975,-1.6201565160000002,102127.41229804001,0.0,102127.41229804001,1.0,-315.66,25.663,0.0,25.184,close_grid_long
18,1526,HYPE,0.0,-1.59221315,102125.82008489002,0.0,102125.82008489002,1.0,309.95,25.685,309.95,25.685,entry_initial_normal_long
19,1888,HYPE,0.0,-1.6822748799999998,102124.13781001001,0.0,102124.13781001001,1.0,333.52,25.22,643.47,25.443983635600723,entry_trailing_cropped_long
20,1970,HYPE,0.0,-5.553261864000001,102118.58454814601,0.0,102118.58454814601,1.0,1120.92,24.771,1764.39,25.01643597503953,entry_grid_normal_long
21,2154,HYPE,418.31594203288427,-4.812820278,102532.0876699009,0.0,102532.0876699009,1.0,-945.21,25.459,819.18,25.01643597503953,close_grid_long
